usage_date,tenant_id,service,resource_type,region,quantity,unit,tags_json
2026-08-17,tenant_gamma,compute,vm.gpu,us-east-1,14.8,hour,"{""env"":""staging"",""team"":""ml"",""cost_center"":""CC-330""}"
2026-08-17,tenant_gamma,storage,object.standard,us-east-1,99.7,gb,"{""env"":""staging"",""team"":""ml"",""cost_center"":""CC-330""}"
2026-08-18,tenant_alpha,compute,vm.standard,us-west-2,142.5,hour,"{""env"":""prod"",""team"":""platform"",""cost_center"":""CC-104""}"
2026-08-18,tenant_alpha,storage,object.standard,us-west-2,850.6,gb,"{""env"":""prod"",""team"":""platform"",""cost_center"":""CC-104""}"
2026-08-18,tenant_beta,compute,vm.standard,us-west-2,65.1,hour,"{""env"":""prod"",""team"":""growth"",""cost_center"":""CC-211""}"
2026-08-18,tenant_beta,network,egress,us-west-2,152.8,gb,"{""env"":""prod"",""team"":""growth"",""cost_center"":""CC-211""}"
2026-08-18,tenant_gamma,compute,vm.gpu,us-east-1,15.5,hour,"{""env"":""staging"",""team"":""ml"",""cost_center"":""CC-330""}"
2026-08-18,tenant_gamma,storage,object.standard,us-east-1,102.9,gb,"{""env"":""staging"",""team"":""ml"",""cost_center"":""CC-330""}"
2026-08-19,tenant_alpha,compute,vm.standard,us-west-2,139.8,hour,"{""env"":""prod"",""team"":""platform"",""cost_center"":""CC-104""}"
2026-08-19,tenant_alpha,storage,object.standard,us-west-2,847.3,gb,"{""env"":""prod"",""team"":""platform"",""cost_center"":""CC-104""}"
2026-08-19,tenant_beta,compute,vm.standard,us-west-2,64.2,hour,"{""env"":""prod"",""team"":""growth"",""cost_center"":""CC-211""}"
2026-08-19,tenant_beta,network,egress,us-west-2,149.4,gb,"{""env"":""prod"",""team"":""growth"",""cost_center"":""CC-211""}"
2026-08-19,tenant_gamma,compute,vm.gpu,us-east-1,14.6,hour,"{""env"":""staging"",""team"":""ml"",""cost_center"":""CC-330""}"
2026-08-19,tenant_gamma,storage,object.standard,us-east-1,100.2,gb,"{""env"":""staging"",""team"":""ml"",""cost_center"":""CC-330""}"
