domain_order,domain,kpi_name,definition,target_benchmark,frequency,strategic_objective,is_illustrative,notes
5,Logistics & Supply Chain,Supplier OTIF Delivery Compliance,Percentage of vendor component deliveries arriving on schedule and fully meeting quality specs.,>= 96.0%,Weekly,Protect high-rate satellite assembly lines from component starvation.,true,Illustrative operational-KPI framework applied to this case -- target benchmark is not sourced to any Amazon disclosure.
5,Logistics & Supply Chain,Prometheus Buffer Stock Horizon,Days of on-hand inventory for custom Prometheus baseband chips based on factory burn rate.,45 to 60 days,Weekly,Buffer against semiconductor supply chain disruptions.,true,Illustrative operational-KPI framework applied to this case -- target benchmark is not sourced to any Amazon disclosure.
5,Logistics & Supply Chain,Cross-Country/Ocean Transit Integrity,Percentage of spacecraft shipments reaching launch sites without tripping shock vibration or humidity sensors.,100% transit compliance,Per Shipment,Prevent transport-induced structural or electronic damage.,true,Illustrative operational-KPI framework applied to this case -- target benchmark is not sourced to any Amazon disclosure.
5,Logistics & Supply Chain,Single-Source Vendor Exposure Index,Percentage of direct procurement spend tied to single-source suppliers lacking qualified backups.,< 15% total spend,Quarterly,Diversify supply chain sourcing for critical satellite components.,true,Illustrative operational-KPI framework applied to this case -- target benchmark is not sourced to any Amazon disclosure.
5,Logistics & Supply Chain,Strategic Material Safety Buffer,Weeks of raw material (propellant-grade krypton solar cell substrate) held in reserve.,>= 12 weeks supply,Monthly,Safeguard manufacturing against upstream material embargoes.,true,Illustrative operational-KPI framework applied to this case -- target benchmark is not sourced to any Amazon disclosure.
6,Systems Engineering,End-to-End Network Latency,Mean round-trip time for data packets routed between end-user terminals and internet pop points.,30 to 50 ms,Continuous,Maintain low-latency performance competitive with terrestrial fiber.,true,Illustrative operational-KPI framework applied to this case -- target benchmark is not sourced to any Amazon disclosure.
6,Systems Engineering,OISL Inter-Laser Link Throughput,Operational throughput maintained across active infrared inter-satellite optical links.,>= 100 Gbps/link,Continuous,Maximize routing efficiency across the space mesh network.,true,Illustrative operational-KPI framework applied to this case -- target benchmark is not sourced to any Amazon disclosure.
6,Systems Engineering,Prometheus SoC Onboard Data Yield,Total real-time data traffic processed on board each satellite baseband processing SoC.,Up to 1 Tbps,Continuous,Prevent data processing bottlenecks on orbit.,true,Illustrative operational-KPI framework applied to this case -- target benchmark is not sourced to any Amazon disclosure.
6,Systems Engineering,Station-Keeping Position Precision,Deviation of spacecraft position from assigned altitude and inclination parameters.,+/- 9 km altitude,Continuous,Maintain constellation spacing and prevent orbital collisions.,true,Illustrative operational-KPI framework applied to this case -- target benchmark is not sourced to any Amazon disclosure.
6,Systems Engineering,Autonomous Collision Avoidance Yield,Percentage of orbital conjunction warnings resolved via automated thruster adjustments without ground operator intervention.,>= 99.5%,Daily,Automate space traffic management and protect space assets.,true,Illustrative operational-KPI framework applied to this case -- target benchmark is not sourced to any Amazon disclosure.
6,Systems Engineering,De-orbit Trajectory Execution Rate,Percentage of end-of-life spacecraft successfully executing controlled re-entry de-orbit burns.,100% success rate,Per De-orbit,Prevent orbital debris accumulation in low Earth orbit.,true,Illustrative operational-KPI framework applied to this case -- target benchmark is not sourced to any Amazon disclosure.
7,Commercialization & Sales,Residential Subscription ARPU,Monthly service revenue generated per active residential Pro/Nano terminal user.,$100 to $120/month,Monthly,Drive cash flow from direct-to-consumer subscribers.,true,Illustrative operational-KPI framework applied to this case -- target benchmark is not sourced to any Amazon disclosure.
7,Commercialization & Sales,Enterprise Backhaul SLA Uptime,Percentage of operating hours meeting contracted bandwidth and latency SLAs for enterprise clients.,>= 99.9% uptime,Monthly,Fulfill enterprise agreements with telecom and aviation partners.,true,Illustrative operational-KPI framework applied to this case -- target benchmark is not sourced to any Amazon disclosure.
7,Commercialization & Sales,Customer Acquisition Cost (CAC),Total acquisition costs including sales marketing and hardware subsidies divided by new activations.,Payback < 12 months,Monthly,Maintain efficient subscriber growth economics.,true,Illustrative operational-KPI framework applied to this case -- target benchmark is not sourced to any Amazon disclosure.
7,Commercialization & Sales,Terminal Capacity Load Factor,Ratio of active data consumed through user terminals to peak engineered system throughput.,65% to 80% peak load,Daily,Maximize cell utilization without inducing local congestion.,true,Illustrative operational-KPI framework applied to this case -- target benchmark is not sourced to any Amazon disclosure.
7,Commercialization & Sales,Landing Rights Clearance Velocity,Total national regulatory jurisdictions approving commercial spectrum landing rights per quarter.,>= 15 nations/quarter,Quarterly,Expand global addressable market prior to full constellation launch.,true,Illustrative operational-KPI framework applied to this case -- target benchmark is not sourced to any Amazon disclosure.
7,Commercialization & Sales,Gross Monthly Churn Rate,Percentage of active subscribers disconnecting service per 30-day operating window.,< 1.2% per month,Monthly,Protect subscriber lifetime value against competitor alternatives.,true,Illustrative operational-KPI framework applied to this case -- target benchmark is not sourced to any Amazon disclosure.
8,Vendor Management,Vendor Component Defect Rate (PPM),Defective components per million units delivered across space hardware vendors.,< 50 PPM,Monthly,Protect spacecraft cleanroom lines from defective incoming hardware.,true,Illustrative operational-KPI framework applied to this case -- target benchmark is not sourced to any Amazon disclosure.
8,Vendor Management,Supplier Quality Rating (SQR),Weighted score evaluating vendor defect rates on-time delivery and cost performance.,>= 92/100,Quarterly,Audit Tier-1 and Tier-2 space hardware suppliers.,true,Illustrative operational-KPI framework applied to this case -- target benchmark is not sourced to any Amazon disclosure.
8,Vendor Management,Launch Provider Schedule Compliance,Percentage of contracted launch missions executed within approved launch windows.,>= 90% compliance,Per Mission,Maintain launch schedule alignment across rocket providers.,true,Illustrative operational-KPI framework applied to this case -- target benchmark is not sourced to any Amazon disclosure.
8,Vendor Management,Single-Source Vendor Recovery Time,Days required to transition component production to an alternate supplier upon vendor failure.,< 60 days,Bi-Annually,Reduce single-source supplier dependencies.,true,Illustrative operational-KPI framework applied to this case -- target benchmark is not sourced to any Amazon disclosure.
8,Vendor Management,Cybersecurity/ITAR Compliance Audit,Percentage of active hardware vendors fully compliant with ITAR export controls and cybersecurity protocols.,100% audit score,Bi-Annually,Ensure regulatory and security compliance across supply tiers.,true,Illustrative operational-KPI framework applied to this case -- target benchmark is not sourced to any Amazon disclosure.
8,Vendor Management,Vendor SLA Downtime Cost Recovery,Percentage of financial losses from supplier-caused line holds recovered via contract penalties.,100% penalty recovery,Quarterly,Recoup financial impact from vendor quality non-conformance.,true,Illustrative operational-KPI framework applied to this case -- target benchmark is not sourced to any Amazon disclosure.
9,Inventory & Quality Control,Pre-Ship Acceptance Test Pass Rate,Percentage of completed spacecraft passing final testing before shipment to launch sites.,>= 99.0%,Weekly,Ensure zero defective spacecraft are shipped to launch sites.,true,Illustrative operational-KPI framework applied to this case -- target benchmark is not sourced to any Amazon disclosure.
9,Inventory & Quality Control,NCR Resolution Cycle Time,Average business days required to investigate resolve and close cleanroom Non-Conformance Reports.,< 5 business days,Weekly,Maintain factory flow by resolving quality defects quickly.,true,Illustrative operational-KPI framework applied to this case -- target benchmark is not sourced to any Amazon disclosure.
9,Inventory & Quality Control,Flight Component Serial Traceability,Percentage of audited flight components with complete verified manufacturing provenance logs.,100% audit score,Monthly,Guarantee part traceability for post-launch anomaly analysis.,true,Illustrative operational-KPI framework applied to this case -- target benchmark is not sourced to any Amazon disclosure.
9,Inventory & Quality Control,Terminal Field RMA Rate,Percentage of deployed customer terminals returned due to hardware defects within 12 months.,< 0.8% of active units,Monthly,Protect customer satisfaction and lower warranty replacement costs.,true,Illustrative operational-KPI framework applied to this case -- target benchmark is not sourced to any Amazon disclosure.
9,Inventory & Quality Control,Non-Destructive Testing (NDT) Coverage,Percentage of critical structural and composite welds subjected to ultrasonic/X-ray inspection.,100% critical joint check,Weekly,Eliminate structural defects prior to launch vibration stress.,true,Illustrative operational-KPI framework applied to this case -- target benchmark is not sourced to any Amazon disclosure.
9,Inventory & Quality Control,Inventory Carrying Cost Ratio,Total holding storage and insurance costs divided by total value of on-hand spacecraft inventory.,< 8%,Monthly,Optimize inventory holding costs across storage facilities.,true,Illustrative operational-KPI framework applied to this case -- target benchmark is not sourced to any Amazon disclosure.
